slice,profile,ot,cmp,poison,attack,n,ccr_mean,ccr_lo,ccr_hi,beats_best_benign,poison_sim,best_benign_sim
K,P2,0,1,adaptive,A01,10,1.0,1.0,1.0,1.0,0.8536,0.7234
K,P2,0,1,generic,A01,10,1.0,1.0,1.0,1.0,0.7286,0.7234
K,P2,0,3,adaptive,A01,10,1.0,1.0,1.0,1.0,0.8536,0.7234
K,P2,0,3,generic,A01,10,1.0,1.0,1.0,1.0,0.7286,0.7234
K,P2,0,5,adaptive,A01,10,1.0,1.0,1.0,1.0,0.8536,0.7234
K,P2,0,5,generic,A01,10,1.0,1.0,1.0,1.0,0.7286,0.7234
O,P2,0,0,adaptive,A01,10,1.0,1.0,1.0,1.0,0.8536,0.6138
O,P2,0,0,generic,A01,10,1.0,1.0,1.0,1.0,0.7286,0.6138
O,P2,0,0,,A00,10,0.0,0.0,0.0,0.0,,0.6138
O,P2,200,0,adaptive,A01,10,1.0,1.0,1.0,1.0,0.8536,0.8382
O,P2,200,0,generic,A01,10,0.0,0.0,0.0,0.0,,0.8382
O,P2,200,0,,A00,10,0.0,0.0,0.0,0.0,,0.8382
O,P2,50,0,adaptive,A01,10,1.0,1.0,1.0,1.0,0.8536,0.8382
O,P2,50,0,generic,A01,10,0.0,0.0,0.0,0.0,,0.8382
O,P2,50,0,,A00,10,0.0,0.0,0.0,0.0,,0.8382
O,P2,500,0,adaptive,A01,10,0.6667,0.6667,0.6667,1.0,0.8536,0.8473
O,P2,500,0,generic,A01,10,0.0,0.0,0.0,0.0,,0.8473
O,P2,500,0,,A00,10,0.0,0.0,0.0,0.0,,0.8473
V,P1,0,0,generic,A01,10,1.0,1.0,1.0,1.0,0.7286,0.6722
V,P1,0,0,,A00,10,0.0,0.0,0.0,0.0,,0.6722
V,P2,0,0,generic,A01,10,1.0,1.0,1.0,1.0,0.7286,0.6138
V,P2,0,0,,A00,10,0.0,0.0,0.0,0.0,,0.6138
V,P3,0,0,generic,A01,10,1.0,1.0,1.0,1.0,0.7286,0.6961
V,P3,0,0,,A00,10,0.0,0.0,0.0,0.0,,0.6961
