profile,budget,n,ccr_mean,ccr_lo,ccr_hi,poison_presence_rate,mrank_mean,mrank_lo,mrank_hi,disp_mean,disp_lo,disp_hi
MEM003_SPARSE,1,10,0.3333,0.3333,0.3333,1.0,1.0,1.0,1.0,3.0,3.0,3.0
MEM003_SPARSE,2,10,0.6667,0.6667,0.6667,1.0,1.0,1.0,1.0,6.0,6.0,6.0
MEM060_OPERATIONAL,1,10,0.3333,0.3333,0.3333,1.0,1.0,1.0,1.0,3.0,3.0,3.0
MEM060_OPERATIONAL,2,10,0.6667,0.6667,0.6667,1.0,1.0,1.0,1.0,6.0,6.0,6.0
MEM200_DENSE,1,10,0.3333,0.3333,0.3333,1.0,1.0,1.0,1.0,3.0,3.0,3.0
MEM200_DENSE,2,10,0.6667,0.6667,0.6667,1.0,1.0,1.0,1.0,6.0,6.0,6.0
MEM060_EPISODIC_HEAVY,1,10,0.3333,0.3333,0.3333,1.0,1.0,1.0,1.0,3.0,3.0,3.0
MEM060_EPISODIC_HEAVY,2,10,0.6667,0.6667,0.6667,1.0,1.0,1.0,1.0,6.0,6.0,6.0
MEM060_BENIGN_HIGHSIM,1,10,0.3333,0.3333,0.3333,1.0,1.0,1.0,1.0,3.0,3.0,3.0
MEM060_BENIGN_HIGHSIM,2,10,0.6667,0.6667,0.6667,1.0,1.0,1.0,1.0,6.0,6.0,6.0
