scout_count,total_agents,policy,n_A01,n_A00,manip_opportunity_frac,manip_coverage,cross_scout_exposure_mean,cs_lo,cs_hi,blast_fraction_mean,bf_lo,bf_hi,blast_count_mean,supervisor_exposure_rate,targeted_exposure_mean,A00_blast_frac
2,3,fixed,10,10,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0
2,3,random,10,10,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0
2,3,dynamic,10,10,0.55,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0
4,5,fixed,10,10,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0
4,5,random,10,10,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0
4,5,dynamic,10,10,0.275,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0
8,9,fixed,10,10,0.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,0.0
8,9,random,10,10,0.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,0.0
8,9,dynamic,10,10,0.125,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,0.0
16,17,fixed,10,10,0.0625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,1.0,1.0,0.0
16,17,random,10,10,0.0625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,1.0,1.0,0.0
16,17,dynamic,10,10,0.0625,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,17.0,1.0,1.0,0.0
