kind,topk,budget,n,ccr_mean,ccr_lo,ccr_hi,poison_presence,mrank_mean,mrank_lo,mrank_hi,scout_ccr_mean,supervisor_ccr_mean,disp_mean,disp_lo,disp_hi
sym,03,1,10,0.3333,0.3333,0.3333,1.0,1.0,1.0,1.0,0.3333,0.3333,3.0,3.0,3.0
sym,03,2,10,0.6667,0.6667,0.6667,1.0,1.0,1.0,1.0,0.6667,0.6667,6.0,6.0,6.0
sym,03,3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0
sym,05,1,10,0.2,0.2,0.2,1.0,1.0,1.0,1.0,0.2,0.2,3.0,3.0,3.0
sym,05,2,10,0.4,0.4,0.4,1.0,1.0,1.0,1.0,0.4,0.4,6.0,6.0,6.0
sym,05,3,10,0.6,0.6,0.6,1.0,1.0,1.0,1.0,0.6,0.6,9.0,9.0,9.0
sym,05,5,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0
sym,10,1,10,0.1,0.1,0.1,1.0,1.0,1.0,1.0,0.1,0.1,3.0,3.0,3.0
sym,10,2,10,0.2,0.2,0.2,1.0,1.0,1.0,1.0,0.2,0.2,6.0,6.0,6.0
sym,10,3,10,0.3,0.3,0.3,1.0,1.0,1.0,1.0,0.3,0.3,9.0,9.0,9.0
sym,10,5,10,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,15.0,15.0,15.0
sym,20,1,10,0.05,0.05,0.05,1.0,1.0,1.0,1.0,0.05,0.05,3.0,3.0,3.0
sym,20,2,10,0.1,0.1,0.1,1.0,1.0,1.0,1.0,0.1,0.1,6.0,6.0,6.0
sym,20,3,10,0.15,0.15,0.15,1.0,1.0,1.0,1.0,0.15,0.15,9.0,9.0,9.0
sym,20,5,10,0.25,0.25,0.25,1.0,1.0,1.0,1.0,0.25,0.25,15.0,15.0,15.0
asym,s03-p05,3,10,0.8182,0.8182,0.8182,1.0,1.0,1.0,1.0,1.0,0.6,9.0,9.0,9.0
